date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
16/11/2018 19:30,59.04,26.28,0.00,91.36,100.00,Weekday,Friday,Maximum_Load
31/07/2018 02:30,2.84,4.36,0.00,54.58,100.00,Weekday,Tuesday,Light_Load
05/09/2018 11:30,64.26,38.77,0.00,85.62,100.00,Weekday,Wednesday,Maximum_Load
04/12/2018 21:15,5.69,0.00,20.20,100.00,27.11,Weekday,Tuesday,Medium_Load
27/09/2018 01:15,2.74,6.01,0.00,41.48,100.00,Weekday,Thursday,Light_Load
06/09/2018 17:00,57.89,29.48,0.00,89.11,100.00,Weekday,Thursday,Maximum_Load
17/06/2018 14:15,3.02,0.00,16.85,100.00,17.64,Weekend,Sunday,Light_Load
06/11/2018 08:15,35.03,30.74,0.00,75.16,100.00,Weekday,Tuesday,Light_Load
06/12/2018 22:00,5.54,0.00,19.98,100.00,26.72,Weekday,Thursday,Medium_Load
13/01/2018 01:30,4.64,3.89,0.00,76.63,100.00,Weekend,Saturday,Light_Load
12/07/2018 01:45,2.95,4.86,0.00,51.89,100.00,Weekday,Thursday,Light_Load
26/03/2018 15:15,59.76,14.15,0.00,97.31,100.00,Weekday,Monday,Maximum_Load
22/11/2018 12:15,5.22,0.00,20.70,100.00,24.45,Weekday,Thursday,Medium_Load
16/11/2018 10:15,67.68,40.68,0.00,85.71,100.00,Weekday,Friday,Maximum_Load
08/02/2018 14:30,118.22,54.04,0.00,90.95,100.00,Weekday,Thursday,Medium_Load
07/02/2018 03:45,5.90,5.29,0.00,74.45,100.00,Weekday,Wednesday,Light_Load
07/04/2018 06:15,3.17,5.33,0.00,51.12,100.00,Weekend,Saturday,Light_Load
03/06/2018 23:45,3.17,4.79,0.00,55.19,100.00,Weekend,Sunday,Light_Load
21/11/2018 08:30,50.08,31.97,0.00,84.29,100.00,Weekday,Wednesday,Light_Load
22/12/2018 03:15,3.82,2.84,0.07,80.25,99.98,Weekend,Saturday,Light_Load
05/07/2018 19:30,57.85,22.50,0.00,93.20,100.00,Weekday,Thursday,Medium_Load
05/12/2018 08:15,27.65,17.17,0.11,84.95,100.00,Weekday,Wednesday,Light_Load
08/05/2018 03:45,3.02,3.74,0.00,62.82,100.00,Weekday,Tuesday,Light_Load
25/12/2018 03:45,3.28,2.41,0.07,80.59,99.98,Weekday,Tuesday,Light_Load
06/07/2018 18:15,60.44,33.73,0.61,87.32,99.99,Weekday,Friday,Medium_Load
02/01/2018 00:15,3.20,3.10,0.00,71.82,100.00,Weekday,Tuesday,Light_Load
16/04/2018 18:15,37.87,14.72,0.65,93.21,99.99,Weekday,Monday,Medium_Load
23/08/2018 14:30,40.07,8.10,0.00,98.02,100.00,Weekday,Thursday,Maximum_Load
28/08/2018 23:00,3.13,4.90,0.00,53.83,100.00,Weekday,Tuesday,Medium_Load
26/02/2018 00:30,3.82,3.31,0.00,75.58,100.00,Weekday,Monday,Light_Load
21/12/2018 11:45,57.85,23.98,0.00,92.38,100.00,Weekday,Friday,Maximum_Load
18/10/2018 17:30,47.41,29.12,0.00,85.21,100.00,Weekday,Thursday,Medium_Load
22/11/2018 04:45,3.20,3.17,0.00,71.04,100.00,Weekday,Thursday,Light_Load
28/08/2018 07:15,2.52,4.36,0.00,50.04,100.00,Weekday,Tuesday,Light_Load
28/07/2018 10:00,47.23,13.21,0.00,96.30,100.00,Weekend,Saturday,Medium_Load
16/07/2018 06:00,2.81,5.04,0.00,48.70,100.00,Weekday,Monday,Light_Load
16/05/2018 02:00,3.82,4.86,0.00,61.80,100.00,Weekday,Wednesday,Light_Load
22/12/2018 15:30,3.53,0.00,14.15,100.00,24.21,Weekend,Saturday,Light_Load
21/07/2018 09:45,43.49,23.87,0.00,87.66,100.00,Weekend,Saturday,Medium_Load
02/09/2018 05:15,3.17,6.12,0.00,45.99,100.00,Weekend,Sunday,Light_Load
02/09/2018 01:15,2.74,4.90,0.00,48.81,100.00,Weekend,Sunday,Light_Load
12/02/2018 07:30,5.33,5.04,0.00,72.66,100.00,Weekday,Monday,Light_Load
13/03/2018 13:15,53.75,16.24,2.66,95.73,99.88,Weekday,Tuesday,Maximum_Load
24/01/2018 17:30,65.16,17.64,0.00,96.53,100.00,Weekday,Wednesday,Maximum_Load
27/01/2018 11:30,30.85,7.49,0.00,97.18,100.00,Weekend,Saturday,Maximum_Load
03/05/2018 04:00,3.13,4.00,0.00,61.63,100.00,Weekday,Thursday,Light_Load
08/05/2018 11:00,80.14,35.82,0.00,91.30,100.00,Weekday,Tuesday,Maximum_Load
28/08/2018 04:45,2.63,4.07,0.00,54.27,100.00,Weekday,Tuesday,Light_Load
06/11/2018 22:00,3.85,0.00,17.32,100.00,21.70,Weekday,Tuesday,Medium_Load
12/06/2018 16:00,63.61,18.36,0.00,96.08,100.00,Weekday,Tuesday,Maximum_Load
05/04/2018 12:00,48.38,28.01,0.00,86.54,100.00,Weekday,Thursday,Maximum_Load
25/08/2018 20:00,2.88,0.00,13.54,100.00,20.80,Weekend,Saturday,Light_Load
29/01/2018 16:45,129.13,46.58,0.00,94.07,100.00,Weekday,Monday,Medium_Load
12/09/2018 09:30,41.69,21.17,0.00,89.16,100.00,Weekday,Wednesday,Medium_Load
11/09/2018 17:30,75.82,43.56,0.00,86.71,100.00,Weekday,Tuesday,Medium_Load
05/05/2018 05:30,3.53,4.54,0.00,61.38,100.00,Weekend,Saturday,Light_Load
07/11/2018 11:15,49.00,27.72,0.00,87.04,100.00,Weekday,Wednesday,Maximum_Load
01/06/2018 19:30,4.97,0.00,25.56,100.00,19.09,Weekday,Friday,Medium_Load
28/11/2018 09:45,58.97,25.85,0.00,91.59,100.00,Weekday,Wednesday,Medium_Load
23/05/2018 00:15,3.20,5.22,0.00,52.26,100.00,Weekday,Wednesday,Light_Load
29/01/2018 14:00,117.07,46.44,0.00,92.95,100.00,Weekday,Monday,Medium_Load
24/03/2018 06:45,3.49,4.86,0.00,58.33,100.00,Weekend,Saturday,Light_Load
09/09/2018 13:30,21.10,2.52,2.92,99.29,99.06,Weekend,Sunday,Maximum_Load
19/08/2018 02:15,2.74,4.68,0.00,50.52,100.00,Weekend,Sunday,Light_Load
06/12/2018 07:30,3.46,2.56,0.04,80.39,99.99,Weekday,Thursday,Light_Load
25/03/2018 20:00,5.00,0.00,26.46,100.00,18.57,Weekend,Sunday,Medium_Load
25/06/2018 04:00,2.84,4.68,0.00,51.88,100.00,Weekday,Monday,Light_Load
27/01/2018 20:45,4.39,0.00,17.17,100.00,24.77,Weekend,Saturday,Medium_Load
21/12/2018 22:30,5.26,3.31,0.00,84.64,100.00,Weekday,Friday,Maximum_Load
14/05/2018 08:45,58.10,52.96,0.00,73.90,100.00,Weekday,Monday,Light_Load
14/08/2018 01:00,2.81,5.26,0.00,47.12,100.00,Weekday,Tuesday,Light_Load
25/10/2018 11:00,67.43,44.50,0.00,83.46,100.00,Weekday,Thursday,Maximum_Load
23/02/2018 17:00,60.30,22.10,0.00,93.89,100.00,Weekday,Friday,Medium_Load
22/02/2018 06:45,5.00,4.82,0.00,71.99,100.00,Weekday,Thursday,Light_Load
24/05/2018 09:45,99.58,38.99,0.00,93.12,100.00,Weekday,Thursday,Medium_Load
19/04/2018 23:45,3.53,3.20,0.00,74.09,100.00,Weekday,Thursday,Light_Load
18/01/2018 09:45,70.06,27.47,0.00,93.10,100.00,Weekday,Thursday,Medium_Load
14/01/2018 07:00,3.96,3.64,0.00,73.62,100.00,Weekend,Sunday,Light_Load
29/11/2018 22:30,4.14,5.47,0.00,60.35,100.00,Weekday,Thursday,Maximum_Load
09/12/2018 21:45,3.38,0.00,14.62,100.00,22.52,Weekend,Sunday,Light_Load
01/07/2018 08:00,3.06,3.67,0.00,64.04,100.00,Weekend,Sunday,Light_Load
29/10/2018 16:45,101.27,47.59,0.00,90.50,100.00,Weekday,Monday,Maximum_Load
14/01/2018 11:00,14.00,0.00,21.82,100.00,54.00,Weekend,Sunday,Maximum_Load
02/06/2018 11:15,6.26,0.00,6.77,100.00,67.89,Weekend,Saturday,Light_Load
23/04/2018 07:30,3.89,3.89,0.00,70.71,100.00,Weekday,Monday,Light_Load
17/12/2018 21:15,4.43,0.00,21.13,100.00,20.52,Weekday,Monday,Medium_Load
11/12/2018 02:15,4.28,3.67,0.04,75.91,100.00,Weekday,Tuesday,Light_Load
05/11/2018 04:45,2.92,4.32,0.00,56.00,100.00,Weekday,Monday,Light_Load
12/07/2018 16:00,51.73,17.53,0.00,94.71,100.00,Weekday,Thursday,Maximum_Load
28/05/2018 14:45,54.11,27.22,0.00,89.33,100.00,Weekday,Monday,Maximum_Load
03/10/2018 06:30,3.49,7.85,0.00,40.62,100.00,Weekday,Wednesday,Light_Load
17/04/2018 14:00,94.00,36.50,0.00,93.22,100.00,Weekday,Tuesday,Maximum_Load
18/06/2018 21:30,3.85,0.00,23.04,100.00,16.48,Weekday,Monday,Medium_Load
01/02/2018 19:30,92.84,40.79,0.00,91.55,100.00,Weekday,Thursday,Maximum_Load
09/02/2018 08:15,57.56,35.35,0.00,85.21,100.00,Weekday,Friday,Light_Load
17/11/2018 05:30,3.17,4.32,0.00,59.16,100.00,Weekend,Saturday,Light_Load
09/09/2018 08:30,5.76,10.22,0.00,49.10,100.00,Weekend,Sunday,Light_Load
17/01/2018 10:00,67.18,19.94,0.00,95.87,100.00,Weekday,Wednesday,Medium_Load
31/12/2018 05:15,3.56,2.74,0.14,79.25,99.92,Weekday,Monday,Light_Load
10/04/2018 19:00,48.17,15.52,0.00,95.18,100.00,Weekday,Tuesday,Medium_Load
25/12/2018 21:30,4.03,0.00,20.45,100.00,19.33,Weekday,Tuesday,Light_Load
07/08/2018 22:45,3.06,5.40,0.00,49.30,100.00,Weekday,Tuesday,Medium_Load
05/10/2018 04:30,3.38,6.41,0.00,46.64,100.00,Weekday,Friday,Light_Load
15/12/2018 10:30,3.35,0.00,15.05,100.00,21.73,Weekend,Saturday,Light_Load
21/11/2018 03:30,2.88,1.94,0.25,82.94,99.63,Weekday,Wednesday,Light_Load
21/02/2018 09:15,60.59,14.98,0.00,97.08,100.00,Weekday,Wednesday,Medium_Load
09/06/2018 08:15,3.13,5.47,0.00,49.67,100.00,Weekend,Saturday,Light_Load
26/11/2018 08:30,88.92,65.88,0.00,80.35,100.00,Weekday,Monday,Light_Load
25/12/2018 16:30,3.42,0.00,14.00,100.00,23.73,Weekday,Tuesday,Light_Load
27/12/2018 19:30,47.99,7.42,0.25,98.83,100.00,Weekday,Thursday,Maximum_Load
30/05/2018 20:45,68.80,26.39,0.00,93.37,100.00,Weekday,Wednesday,Medium_Load
22/11/2018 10:15,139.57,58.90,0.00,92.13,100.00,Weekday,Thursday,Maximum_Load
03/01/2018 18:00,73.62,13.25,1.69,98.42,99.97,Weekday,Wednesday,Maximum_Load
15/08/2018 04:30,2.66,4.32,0.00,52.43,100.00,Weekday,Wednesday,Light_Load
08/10/2018 02:30,2.66,5.18,0.00,45.68,100.00,Weekday,Monday,Light_Load
23/03/2018 06:30,3.24,3.96,0.00,63.32,100.00,Weekday,Friday,Light_Load
14/01/2018 10:15,15.01,0.04,13.50,100.00,74.35,Weekend,Sunday,Maximum_Load
19/08/2018 23:15,2.63,4.54,0.00,50.13,100.00,Weekend,Sunday,Light_Load
09/06/2018 17:45,3.13,0.00,16.42,100.00,18.72,Weekend,Saturday,Light_Load
19/08/2018 18:45,2.66,0.00,9.94,100.00,25.85,Weekend,Sunday,Light_Load
26/09/2018 05:45,2.63,5.36,0.00,44.05,100.00,Weekday,Wednesday,Light_Load
15/04/2018 08:15,3.17,4.54,0.00,57.25,100.00,Weekend,Sunday,Light_Load
20/11/2018 01:00,3.60,3.74,0.00,69.35,100.00,Weekday,Tuesday,Light_Load
27/06/2018 19:00,3.71,0.00,26.10,100.00,14.07,Weekday,Wednesday,Medium_Load
02/03/2018 21:15,40.68,7.38,0.36,98.39,100.00,Weekday,Friday,Medium_Load
25/08/2018 13:00,3.38,0.00,13.14,100.00,24.91,Weekend,Saturday,Light_Load
19/02/2018 13:15,61.67,22.43,1.73,93.98,99.96,Weekday,Monday,Medium_Load
08/02/2018 06:30,4.93,6.26,0.00,61.87,100.00,Weekday,Thursday,Light_Load
02/05/2018 01:45,4.00,5.47,0.00,59.03,100.00,Weekday,Wednesday,Light_Load
08/11/2018 22:30,3.78,6.80,0.00,48.59,100.00,Weekday,Thursday,Maximum_Load
18/06/2018 12:15,12.49,3.02,12.92,97.20,69.50,Weekday,Monday,Medium_Load
04/08/2018 22:15,3.06,1.08,5.22,94.30,50.57,Weekend,Saturday,Light_Load
05/10/2018 06:00,3.02,5.65,0.00,47.14,100.00,Weekday,Friday,Light_Load
16/06/2018 00:00,2.99,5.22,0.00,49.70,100.00,Weekend,Saturday,Light_Load
24/09/2018 07:15,2.66,5.69,0.00,42.35,100.00,Weekday,Monday,Light_Load
08/01/2018 21:45,5.18,0.00,25.99,100.00,19.55,Weekday,Monday,Medium_Load
03/12/2018 01:30,3.35,2.48,0.00,80.37,100.00,Weekday,Monday,Light_Load
02/02/2018 22:15,42.05,13.14,0.43,95.45,99.99,Weekday,Friday,Maximum_Load
06/12/2018 11:15,60.88,31.57,0.00,88.77,100.00,Weekday,Thursday,Maximum_Load
29/12/2018 22:45,3.13,2.77,0.00,74.89,100.00,Weekend,Saturday,Light_Load
01/10/2018 09:30,55.01,31.75,0.00,86.61,100.00,Weekday,Monday,Medium_Load
01/10/2018 11:00,55.84,31.25,0.00,87.26,100.00,Weekday,Monday,Maximum_Load
14/12/2018 11:45,88.85,36.76,0.00,92.40,100.00,Weekday,Friday,Maximum_Load
30/04/2018 19:00,3.78,0.00,25.88,100.00,14.45,Weekday,Monday,Medium_Load
02/02/2018 12:45,9.68,0.00,25.34,100.00,35.69,Weekday,Friday,Medium_Load
24/03/2018 10:15,33.52,0.58,3.24,99.99,99.54,Weekend,Saturday,Maximum_Load
07/01/2018 10:45,3.56,0.00,17.28,100.00,20.18,Weekend,Sunday,Light_Load
01/06/2018 08:30,51.19,48.92,0.00,72.30,100.00,Weekday,Friday,Light_Load
07/05/2018 02:30,2.99,4.36,0.00,56.56,100.00,Weekday,Monday,Light_Load
22/10/2018 03:45,2.92,5.72,0.00,45.47,100.00,Weekday,Monday,Light_Load
12/04/2018 09:30,104.54,47.95,0.00,90.89,100.00,Weekday,Thursday,Medium_Load
25/11/2018 09:15,4.93,0.00,20.20,100.00,23.71,Weekend,Sunday,Light_Load
20/05/2018 05:30,3.06,5.76,0.00,46.92,100.00,Weekend,Sunday,Light_Load
06/11/2018 18:45,52.81,28.22,0.00,88.20,100.00,Weekday,Tuesday,Maximum_Load
02/09/2018 20:00,2.88,0.00,12.24,100.00,22.90,Weekend,Sunday,Medium_Load
16/12/2018 15:45,48.42,16.27,0.00,94.79,100.00,Weekend,Sunday,Medium_Load
17/07/2018 09:15,58.64,44.46,0.00,79.69,100.00,Weekday,Tuesday,Medium_Load
02/08/2018 19:15,2.95,0.00,16.45,100.00,17.65,Weekday,Thursday,Light_Load
22/11/2018 03:45,3.20,3.13,0.00,71.49,100.00,Weekday,Thursday,Light_Load
29/03/2018 22:45,3.60,5.04,0.00,58.12,100.00,Weekday,Thursday,Medium_Load
15/03/2018 10:30,125.10,50.22,0.00,92.80,100.00,Weekday,Thursday,Maximum_Load
25/06/2018 01:00,2.95,4.68,0.00,53.32,100.00,Weekday,Monday,Light_Load
25/09/2018 08:45,2.48,2.05,2.27,77.08,73.76,Weekday,Tuesday,Light_Load
13/07/2018 21:45,3.82,0.00,16.34,100.00,22.76,Weekday,Friday,Medium_Load
04/05/2018 14:30,58.25,27.25,0.00,90.58,100.00,Weekday,Friday,Maximum_Load
24/05/2018 12:15,5.00,0.00,18.18,100.00,26.52,Weekday,Thursday,Medium_Load
18/10/2018 20:45,42.77,17.86,0.00,92.28,100.00,Weekday,Thursday,Medium_Load
05/11/2018 14:30,68.47,44.28,0.00,83.97,100.00,Weekday,Monday,Medium_Load
25/11/2018 20:00,3.10,0.00,15.95,100.00,19.08,Weekend,Sunday,Light_Load
05/02/2018 04:45,4.43,4.61,0.00,69.29,100.00,Weekday,Monday,Light_Load
12/04/2018 23:45,4.07,5.87,0.00,56.98,100.00,Weekday,Thursday,Light_Load
09/11/2018 18:30,58.79,33.62,0.00,86.81,100.00,Weekday,Friday,Maximum_Load
21/01/2018 15:30,5.15,0.00,25.70,100.00,19.65,Weekend,Sunday,Light_Load
14/06/2018 09:15,59.76,16.96,0.00,96.20,100.00,Weekday,Thursday,Medium_Load
18/10/2018 22:30,4.97,9.22,0.00,47.45,100.00,Weekday,Thursday,Medium_Load
19/05/2018 10:45,56.74,24.62,0.00,91.74,100.00,Weekend,Saturday,Maximum_Load
24/03/2018 12:15,6.34,0.86,13.75,99.09,41.87,Weekend,Saturday,Medium_Load
20/02/2018 05:45,5.80,5.26,0.00,74.07,100.00,Weekday,Tuesday,Light_Load
17/02/2018 17:15,3.92,0.00,20.74,100.00,18.57,Weekend,Saturday,Light_Load
22/08/2018 09:15,48.28,24.44,0.00,89.22,100.00,Weekday,Wednesday,Medium_Load
01/12/2018 17:30,4.75,0.00,21.10,100.00,21.96,Weekend,Saturday,Maximum_Load
19/04/2018 13:45,64.87,31.50,0.00,89.96,100.00,Weekday,Thursday,Maximum_Load
15/09/2018 03:15,2.70,5.00,0.00,47.51,100.00,Weekend,Saturday,Light_Load
11/04/2018 05:15,3.28,4.68,0.00,57.39,100.00,Weekday,Wednesday,Light_Load
29/03/2018 09:15,51.08,17.68,0.00,94.50,100.00,Weekday,Thursday,Medium_Load
20/04/2018 10:15,57.28,26.17,0.00,90.96,100.00,Weekday,Friday,Maximum_Load
24/11/2018 11:45,3.28,0.00,13.64,100.00,23.38,Weekend,Saturday,Light_Load
01/01/2018 03:30,3.31,3.74,0.00,66.27,100.00,Weekday,Monday,Light_Load
01/03/2018 00:30,5.33,5.80,0.00,67.66,100.00,Weekday,Thursday,Light_Load
28/09/2018 15:45,56.66,32.62,0.00,86.66,100.00,Weekday,Friday,Maximum_Load
03/07/2018 08:00,5.22,6.12,0.00,64.89,100.00,Weekday,Tuesday,Light_Load
23/06/2018 12:15,9.83,3.35,9.76,94.65,70.96,Weekend,Saturday,Medium_Load
19/04/2018 19:30,40.10,3.13,0.40,99.70,100.00,Weekday,Thursday,Medium_Load
19/11/2018 14:00,58.79,29.66,0.00,89.28,100.00,Weekday,Monday,Medium_Load
03/04/2018 16:00,67.36,33.98,0.00,89.28,100.00,Weekday,Tuesday,Maximum_Load
11/03/2018 16:30,30.35,0.54,2.02,99.98,99.78,Weekend,Sunday,Maximum_Load
19/04/2018 11:30,59.36,46.84,0.00,78.50,100.00,Weekday,Thursday,Maximum_Load
08/04/2018 09:30,90.58,19.87,0.50,97.68,100.00,Weekend,Sunday,Medium_Load
07/03/2018 23:45,3.06,2.38,0.00,78.94,100.00,Weekday,Wednesday,Light_Load
12/02/2018 22:15,32.69,9.07,4.39,96.36,99.11,Weekday,Monday,Maximum_Load
22/07/2018 02:30,3.31,0.00,4.50,100.00,59.25,Weekend,Sunday,Light_Load
01/12/2018 05:30,3.28,2.27,0.11,82.23,99.94,Weekend,Saturday,Light_Load
26/09/2018 07:30,2.56,5.51,0.00,42.14,100.00,Weekday,Wednesday,Light_Load
20/04/2018 08:30,48.92,46.26,0.00,72.66,100.00,Weekday,Friday,Light_Load
30/01/2018 21:00,71.42,12.49,0.00,98.51,100.00,Weekday,Tuesday,Medium_Load
17/01/2018 14:45,52.42,18.25,0.00,94.44,100.00,Weekday,Wednesday,Medium_Load
05/08/2018 20:15,3.13,0.00,16.60,100.00,18.53,Weekend,Sunday,Light_Load
23/11/2018 17:15,86.98,45.97,0.00,88.41,100.00,Weekday,Friday,Maximum_Load
22/09/2018 13:00,2.95,0.00,11.41,100.00,25.03,Weekend,Saturday,Light_Load
25/01/2018 20:00,69.16,21.38,0.00,95.54,100.00,Weekday,Thursday,Maximum_Load
03/10/2018 22:45,2.77,5.47,0.00,45.18,100.00,Weekday,Wednesday,Medium_Load
03/01/2018 22:00,5.18,0.00,26.78,100.00,18.99,Weekday,Wednesday,Medium_Load
12/08/2018 15:00,3.02,0.00,14.72,100.00,20.10,Weekend,Sunday,Light_Load
14/10/2018 20:15,3.06,0.00,12.64,100.00,23.53,Weekend,Sunday,Light_Load
09/09/2018 09:15,10.22,0.11,5.47,99.99,88.17,Weekend,Sunday,Medium_Load
27/11/2018 15:15,81.58,26.78,0.00,95.01,100.00,Weekday,Tuesday,Medium_Load
20/03/2018 09:30,68.51,30.53,0.00,91.34,100.00,Weekday,Tuesday,Medium_Load
08/03/2018 22:30,5.08,4.82,0.00,72.54,100.00,Weekday,Thursday,Medium_Load
27/05/2018 01:00,2.77,4.54,0.00,52.08,100.00,Weekend,Sunday,Light_Load
31/10/2018 23:45,3.92,5.29,0.00,59.54,100.00,Weekday,Wednesday,Light_Load
12/04/2018 02:15,3.53,4.57,0.00,61.13,100.00,Weekday,Thursday,Light_Load
06/06/2018 13:00,4.79,0.00,19.26,100.00,24.13,Weekday,Wednesday,Medium_Load
06/10/2018 09:45,41.69,22.28,0.00,88.20,100.00,Weekend,Saturday,Medium_Load
22/12/2018 12:00,3.60,0.00,13.68,100.00,25.45,Weekend,Saturday,Light_Load
02/01/2018 12:15,19.22,5.54,18.90,96.09,71.30,Weekday,Tuesday,Medium_Load
21/04/2018 04:00,3.10,3.64,0.00,64.84,100.00,Weekend,Saturday,Light_Load
09/09/2018 01:30,2.77,5.22,0.00,46.87,100.00,Weekend,Sunday,Light_Load
22/10/2018 14:45,92.56,52.16,0.00,87.12,100.00,Weekday,Monday,Maximum_Load
26/03/2018 17:30,55.87,26.89,0.00,90.11,100.00,Weekday,Monday,Medium_Load
06/05/2018 21:00,3.28,0.00,16.96,100.00,18.99,Weekend,Sunday,Light_Load
02/03/2018 13:45,90.86,15.52,0.14,98.57,100.00,Weekday,Friday,Maximum_Load
20/12/2018 11:00,77.51,43.70,0.00,87.11,100.00,Weekday,Thursday,Maximum_Load
26/09/2018 05:30,2.56,5.29,0.00,43.56,100.00,Weekday,Wednesday,Light_Load
25/04/2018 17:45,62.93,33.08,0.00,88.52,100.00,Weekday,Wednesday,Medium_Load
15/10/2018 03:30,2.74,5.11,0.00,47.26,100.00,Weekday,Monday,Light_Load
05/02/2018 09:30,71.39,25.20,0.00,94.30,100.00,Weekday,Monday,Medium_Load
25/11/2018 18:45,3.02,0.00,14.51,100.00,20.38,Weekend,Sunday,Light_Load
16/10/2018 09:30,110.52,49.18,0.00,91.36,100.00,Weekday,Tuesday,Medium_Load
16/09/2018 05:45,2.66,5.29,0.00,44.92,100.00,Weekend,Sunday,Light_Load
