Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
7/5/2010,0.440,0.074,237.680,1.800,0.000,0.000,1.000
12/7/2007,0.234,0.120,241.130,1.000,0.000,0.000,0.000
28/6/2007,0.388,0.250,241.430,1.800,0.000,1.000,0.000
17/4/2010,2.052,0.308,238.420,8.600,0.000,2.000,28.000
8/8/2009,0.138,0.000,242.750,0.600,0.000,0.000,0.000
12/8/2008,0.176,0.152,240.520,0.800,0.000,0.000,0.000
28/5/2007,1.436,0.260,231.460,6.200,0.000,1.000,16.000
13/10/2007,0.324,0.076,238.240,1.400,0.000,0.000,0.000
8/4/2009,0.310,0.000,243.910,1.200,0.000,0.000,1.000
1/9/2007,3.422,0.232,240.540,14.200,0.000,0.000,17.000
16/5/2008,2.160,0.432,237.280,9.200,1.000,0.000,18.000
21/8/2007,0.200,0.126,240.020,1.000,0.000,0.000,0.000
12/8/2009,0.266,0.134,241.370,1.200,0.000,1.000,0.000
31/10/2007,0.310,0.112,243.040,1.400,0.000,0.000,0.000
1/8/2009,0.140,0.000,241.840,0.600,0.000,0.000,1.000
14/12/2007,0.314,0.086,245.040,1.400,0.000,0.000,0.000
4/3/2008,2.140,0.190,239.410,9.000,0.000,1.000,17.000
16/3/2009,0.298,0.066,243.140,1.200,0.000,0.000,0.000
29/5/2010,1.618,0.184,242.770,6.600,0.000,0.000,19.000
9/6/2007,1.474,0.206,236.770,6.200,0.000,1.000,17.000
19/5/2009,0.352,0.112,242.820,1.400,0.000,0.000,1.000
5/5/2007,1.488,0.084,232.810,6.400,0.000,0.000,16.000
27/9/2008,1.538,0.122,240.800,6.400,0.000,0.000,19.000
17/5/2010,1.570,0.216,242.830,6.400,0.000,2.000,18.000
9/11/2007,1.658,0.118,239.110,6.800,0.000,0.000,17.000
18/1/2010,1.494,0.000,245.980,6.000,0.000,0.000,19.000
30/1/2007,1.792,0.168,240.680,7.400,0.000,0.000,0.000
21/9/2009,0.286,0.118,242.940,1.200,0.000,0.000,0.000
24/6/2009,1.788,0.326,243.230,7.600,2.000,2.000,6.000
14/4/2008,1.498,0.094,241.560,6.200,0.000,0.000,19.000
12/10/2009,0.218,0.000,241.420,0.800,0.000,0.000,1.000
22/10/2009,1.476,0.198,242.300,6.000,0.000,0.000,19.000
24/4/2009,0.474,0.104,242.720,2.000,0.000,0.000,0.000
25/8/2009,0.354,0.254,241.680,1.800,0.000,1.000,0.000
29/7/2009,0.330,0.218,241.420,1.600,0.000,0.000,0.000
7/3/2009,1.574,0.186,243.580,6.400,0.000,0.000,18.000
14/4/2008,0.350,0.112,244.560,1.400,0.000,0.000,1.000
23/1/2009,0.270,0.000,249.640,1.200,0.000,0.000,0.000
10/9/2007,0.124,0.000,236.870,0.600,0.000,0.000,0.000
10/1/2009,0.222,0.000,249.200,0.800,0.000,0.000,0.000
19/9/2008,0.236,0.112,242.450,1.000,0.000,0.000,0.000
25/1/2010,2.450,0.000,241.100,10.000,0.000,0.000,19.000
2/1/2010,0.260,0.000,248.180,1.000,0.000,0.000,1.000
5/6/2009,1.388,0.184,236.800,5.800,0.000,0.000,17.000
13/3/2009,0.256,0.000,244.250,1.000,0.000,0.000,0.000
11/11/2010,1.500,0.054,231.470,6.400,0.000,0.000,0.000
5/4/2009,0.446,0.054,241.640,2.000,1.000,0.000,0.000
8/3/2008,0.266,0.000,243.440,1.200,0.000,0.000,0.000
18/11/2010,0.340,0.082,244.240,1.400,0.000,0.000,0.000
23/9/2009,1.804,0.250,239.970,7.600,2.000,2.000,1.000
3/11/2007,0.288,0.098,242.060,1.200,0.000,1.000,0.000
17/12/2009,1.494,0.130,248.170,6.000,0.000,0.000,20.000
1/12/2008,1.694,0.180,241.210,7.000,0.000,2.000,18.000
28/6/2008,2.764,0.088,234.960,11.800,0.000,37.000,1.000
12/1/2009,1.440,0.166,243.930,5.800,0.000,1.000,18.000
3/2/2009,1.644,0.154,246.390,6.600,0.000,0.000,0.000
5/11/2010,1.496,0.100,242.560,6.200,0.000,0.000,19.000
23/11/2008,0.340,0.000,241.010,1.400,0.000,0.000,0.000
19/4/2007,0.596,0.126,238.650,2.600,0.000,0.000,0.000
29/7/2010,0.344,0.236,240.990,1.600,0.000,1.000,1.000
19/7/2010,0.262,0.126,241.210,1.200,0.000,0.000,0.000
8/3/2008,3.868,0.320,236.690,16.400,38.000,0.000,0.000
9/1/2009,0.588,0.120,246.950,2.800,0.000,1.000,0.000
11/8/2007,0.270,0.218,236.390,1.400,0.000,0.000,0.000
4/6/2008,0.534,0.000,234.550,3.000,0.000,0.000,6.000
21/8/2008,0.080,0.000,240.690,0.200,0.000,0.000,1.000
29/6/2009,0.896,0.114,240.500,4.200,2.000,1.000,10.000
6/9/2010,0.276,0.090,243.460,1.200,0.000,0.000,0.000
7/10/2008,1.430,0.050,235.040,6.000,0.000,0.000,18.000
28/7/2008,0.454,0.142,244.790,2.200,0.000,0.000,0.000
10/11/2010,3.522,0.066,235.680,14.800,0.000,35.000,18.000
1/7/2007,0.322,0.104,240.260,1.400,0.000,0.000,0.000
20/8/2007,0.210,0.146,241.920,1.000,0.000,0.000,0.000
15/9/2010,0.254,0.070,242.540,1.000,0.000,0.000,1.000
19/2/2008,0.338,0.088,241.910,1.400,0.000,0.000,0.000
26/6/2009,0.138,0.000,243.110,0.600,0.000,0.000,0.000
18/10/2008,1.590,0.050,239.920,6.600,0.000,0.000,18.000
9/1/2007,1.738,0.096,238.940,7.200,0.000,0.000,17.000
9/11/2009,1.798,0.124,243.090,7.400,2.000,0.000,1.000
26/8/2007,0.114,0.000,242.550,0.400,0.000,0.000,0.000
8/7/2007,2.174,0.230,240.440,9.000,0.000,0.000,16.000
12/11/2008,0.544,0.132,241.940,2.200,0.000,1.000,0.000
17/3/2008,1.306,0.056,242.430,5.400,0.000,0.000,18.000
14/1/2009,1.670,0.000,242.470,6.800,0.000,0.000,18.000
17/10/2009,0.386,0.198,241.220,1.800,0.000,1.000,1.000
8/5/2009,0.532,0.000,241.030,2.600,0.000,0.000,6.000
3/6/2009,0.566,0.000,241.880,2.200,0.000,0.000,1.000
30/6/2008,1.454,0.100,237.310,6.200,0.000,0.000,18.000
19/2/2008,2.754,0.088,234.520,11.800,0.000,0.000,0.000
3/8/2009,0.246,0.140,243.180,1.200,0.000,0.000,1.000
28/5/2009,0.512,0.184,233.320,2.200,0.000,1.000,0.000
3/4/2008,0.216,0.000,242.830,0.800,0.000,0.000,0.000
3/3/2010,1.318,0.000,239.180,5.400,0.000,0.000,18.000
5/5/2007,0.218,0.112,238.210,1.000,0.000,0.000,0.000
24/12/2009,1.424,0.000,249.110,5.600,0.000,0.000,19.000
20/5/2007,0.556,0.152,235.830,2.600,0.000,1.000,0.000
4/11/2010,2.740,0.512,244.430,11.400,0.000,0.000,30.000
20/11/2008,0.360,0.000,241.480,1.600,0.000,0.000,0.000
6/7/2007,0.270,0.208,240.610,1.400,0.000,2.000,0.000
6/3/2007,0.266,0.000,242.390,1.200,0.000,1.000,0.000
17/2/2007,0.330,0.124,238.780,1.400,0.000,0.000,0.000
1/1/2009,0.542,0.000,241.120,2.400,0.000,0.000,0.000
10/7/2008,1.942,0.214,236.050,8.200,0.000,1.000,18.000
8/9/2010,0.516,0.318,242.960,2.800,0.000,2.000,1.000
31/12/2007,1.568,0.056,236.620,6.600,0.000,0.000,17.000
8/8/2009,0.310,0.258,241.770,1.600,0.000,1.000,0.000
4/5/2009,0.574,0.130,239.530,2.400,0.000,0.000,1.000
21/10/2008,1.618,0.274,237.850,6.800,0.000,2.000,0.000
27/8/2010,1.870,0.166,240.380,8.000,1.000,0.000,18.000
19/3/2010,0.416,0.000,243.130,1.600,0.000,0.000,1.000
22/7/2010,1.366,0.202,240.160,5.600,0.000,1.000,1.000
11/3/2007,2.438,0.070,241.800,10.000,0.000,2.000,0.000
5/9/2010,0.334,0.072,243.010,1.600,0.000,0.000,1.000
8/6/2010,0.650,0.206,242.670,2.800,0.000,1.000,0.000
10/4/2008,1.652,0.098,239.870,6.800,0.000,1.000,1.000
10/10/2009,0.310,0.104,242.840,1.200,0.000,0.000,1.000
4/10/2008,1.378,0.250,242.500,5.800,0.000,0.000,0.000
21/3/2007,0.308,0.100,244.480,1.200,0.000,1.000,0.000
14/7/2009,0.466,0.294,241.900,2.400,0.000,0.000,0.000
19/10/2007,0.308,0.082,240.530,1.200,0.000,2.000,0.000
22/12/2006,4.476,0.248,237.390,18.800,0.000,0.000,17.000
19/12/2006,0.242,0.000,244.060,1.000,0.000,0.000,0.000
6/4/2008,0.256,0.000,242.090,1.000,0.000,0.000,1.000
21/11/2007,1.270,0.052,238.600,5.200,0.000,0.000,17.000
7/6/2009,0.242,0.098,242.890,1.000,0.000,0.000,0.000
21/10/2008,0.326,0.000,239.810,1.400,0.000,0.000,1.000
1/5/2008,1.432,0.108,242.880,5.800,0.000,0.000,19.000
19/8/2009,1.406,0.108,239.430,5.800,0.000,0.000,18.000
24/8/2010,0.338,0.218,240.210,1.600,0.000,1.000,1.000
28/11/2008,0.312,0.094,245.150,1.200,0.000,0.000,0.000
13/6/2008,1.792,0.102,236.850,7.600,0.000,0.000,18.000
8/7/2009,0.596,0.120,242.340,2.400,0.000,0.000,1.000
17/11/2009,0.226,0.000,241.780,0.800,0.000,0.000,1.000
1/3/2007,0.298,0.106,239.620,1.200,0.000,1.000,0.000
28/5/2008,0.712,0.194,241.550,3.200,1.000,0.000,7.000
24/3/2008,3.044,0.000,239.660,12.800,0.000,2.000,18.000
31/1/2010,1.530,0.212,245.260,6.200,0.000,0.000,19.000
26/6/2008,1.830,0.320,237.390,7.800,0.000,1.000,18.000
14/8/2009,0.442,0.254,242.640,2.000,0.000,0.000,1.000
8/12/2007,1.358,0.000,239.640,5.600,1.000,0.000,17.000
30/11/2007,0.826,0.256,244.700,3.600,0.000,2.000,0.000
30/4/2009,1.508,0.104,241.830,6.200,1.000,0.000,18.000
26/7/2010,1.604,0.000,240.590,6.600,0.000,1.000,1.000
15/5/2008,0.234,0.120,240.380,1.000,0.000,1.000,0.000
9/5/2010,0.364,0.082,242.300,1.600,0.000,0.000,0.000
13/1/2007,0.214,0.000,240.520,1.000,0.000,0.000,0.000
5/12/2009,1.798,0.332,238.500,7.600,0.000,2.000,1.000
2/3/2008,1.640,0.226,240.550,8.200,0.000,17.000,0.000
26/6/2008,1.034,0.342,240.920,4.400,0.000,1.000,12.000
12/3/2009,0.574,0.000,242.560,2.400,0.000,0.000,0.000
14/5/2007,1.358,0.368,235.530,6.000,0.000,1.000,0.000
6/7/2009,1.336,0.202,240.240,5.600,0.000,1.000,18.000
20/8/2007,0.134,0.000,241.400,0.600,0.000,0.000,0.000
9/2/2009,1.714,0.000,237.280,7.400,1.000,0.000,17.000
13/3/2008,1.696,0.054,241.150,7.000,0.000,0.000,18.000
8/9/2010,0.188,0.048,240.830,0.800,0.000,0.000,0.000
16/4/2007,1.326,0.000,240.840,5.400,0.000,0.000,18.000
11/6/2009,0.522,0.120,240.960,2.400,0.000,0.000,0.000
5/8/2007,1.196,0.104,233.450,5.000,0.000,0.000,17.000
1/5/2007,0.234,0.104,236.680,1.000,0.000,0.000,0.000
20/11/2007,3.660,0.472,237.750,16.200,0.000,0.000,0.000
28/4/2010,0.240,0.000,242.580,1.000,0.000,0.000,1.000
5/3/2007,0.244,0.000,241.830,1.000,0.000,0.000,0.000
20/2/2009,0.462,0.104,241.380,2.200,0.000,0.000,0.000
28/8/2007,1.320,0.000,240.400,5.400,0.000,1.000,18.000
5/4/2009,0.454,0.172,243.290,2.000,0.000,0.000,0.000
24/11/2010,1.868,0.058,230.120,8.000,0.000,0.000,17.000
14/8/2010,0.262,0.124,242.710,1.200,0.000,0.000,1.000
8/4/2007,0.290,0.114,242.190,1.200,0.000,1.000,0.000
18/10/2009,2.012,0.000,239.220,8.400,0.000,2.000,1.000
7/12/2009,0.270,0.000,244.820,1.200,0.000,0.000,1.000
12/7/2009,0.316,0.252,240.950,1.600,0.000,1.000,0.000
30/10/2007,0.206,0.000,240.800,0.800,0.000,0.000,0.000
23/6/2007,0.314,0.244,240.890,1.600,0.000,1.000,0.000
12/7/2008,0.670,0.438,239.800,3.400,1.000,0.000,1.000
2/3/2008,1.402,0.086,239.100,5.800,0.000,2.000,0.000
2/7/2008,0.316,0.202,240.340,1.600,0.000,0.000,0.000
25/7/2008,0.146,0.000,238.040,0.600,0.000,0.000,0.000
27/9/2008,0.252,0.134,244.260,1.200,0.000,0.000,1.000
24/4/2008,0.350,0.106,239.020,1.400,0.000,0.000,0.000
19/5/2009,1.310,0.000,239.930,5.400,0.000,0.000,18.000
14/6/2008,2.014,0.322,238.190,8.400,0.000,2.000,28.000
23/4/2009,1.460,0.088,239.130,6.000,0.000,0.000,18.000
25/6/2007,0.322,0.244,242.200,1.600,0.000,1.000,0.000
9/1/2008,0.310,0.000,247.680,1.400,0.000,0.000,0.000
17/3/2007,0.322,0.090,240.780,1.400,0.000,0.000,0.000
29/8/2007,1.630,0.208,238.630,6.800,0.000,0.000,17.000
12/12/2008,1.292,0.068,241.800,5.200,0.000,0.000,18.000
2/7/2008,3.956,0.186,235.070,16.800,37.000,1.000,18.000
19/11/2009,1.572,0.310,241.050,6.600,0.000,2.000,19.000
7/1/2010,1.362,0.000,245.650,5.400,0.000,0.000,19.000
13/6/2010,0.270,0.000,238.160,1.200,1.000,0.000,1.000
30/9/2008,1.416,0.122,241.650,5.800,0.000,0.000,19.000
22/2/2007,0.328,0.000,243.110,1.400,0.000,0.000,0.000
21/2/2007,4.040,0.320,234.220,17.200,0.000,35.000,0.000
8/7/2008,0.366,0.218,240.510,1.800,0.000,1.000,1.000
18/10/2009,1.352,0.000,238.760,5.600,0.000,0.000,18.000
23/8/2007,0.926,0.390,241.130,4.000,0.000,0.000,0.000
27/9/2009,3.786,0.326,236.070,16.800,18.000,1.000,28.000
27/1/2007,0.390,0.240,242.880,1.800,0.000,0.000,0.000
30/6/2010,0.274,0.126,242.660,1.200,0.000,1.000,0.000
22/12/2008,2.054,0.058,237.740,8.600,0.000,0.000,17.000
25/6/2007,0.216,0.076,244.130,1.000,0.000,0.000,0.000
19/8/2008,0.174,0.148,239.570,0.800,0.000,0.000,1.000
12/7/2009,0.134,0.000,245.200,0.600,0.000,0.000,1.000
2/12/2007,1.598,0.418,242.780,6.800,0.000,0.000,0.000
10/9/2007,1.278,0.074,243.290,5.200,0.000,0.000,18.000
17/9/2008,0.154,0.000,241.700,0.600,0.000,0.000,1.000
1/1/2008,3.610,0.388,237.860,15.400,0.000,28.000,18.000
20/1/2007,6.240,0.436,229.620,27.200,0.000,35.000,16.000
25/10/2008,0.368,0.072,244.060,1.600,0.000,0.000,0.000
26/3/2009,0.482,0.056,244.250,2.000,0.000,0.000,0.000
23/10/2008,1.380,0.062,241.410,5.600,0.000,0.000,19.000
11/11/2010,0.446,0.230,244.640,2.000,0.000,1.000,1.000
17/6/2008,0.346,0.098,240.670,1.400,0.000,0.000,1.000
10/7/2009,0.218,0.046,240.510,1.000,0.000,0.000,1.000
3/8/2008,0.862,0.110,240.820,3.600,0.000,0.000,12.000
8/2/2007,0.228,0.000,244.730,1.000,0.000,0.000,0.000
3/4/2008,1.334,0.068,236.380,5.600,0.000,0.000,17.000
12/11/2009,2.542,0.068,238.360,10.800,0.000,0.000,18.000
26/10/2008,0.306,0.082,243.080,1.200,0.000,0.000,0.000
23/7/2009,1.364,0.212,241.910,5.600,0.000,1.000,19.000
9/6/2010,0.200,0.000,241.440,0.800,0.000,0.000,1.000
24/11/2009,2.014,0.304,236.490,8.600,0.000,2.000,0.000
21/3/2007,1.314,0.000,243.510,5.400,0.000,0.000,18.000
8/1/2008,0.740,0.046,238.910,3.000,0.000,0.000,0.000
19/12/2009,1.350,0.048,248.690,5.400,0.000,0.000,19.000
17/12/2008,0.358,0.090,245.220,1.600,0.000,2.000,0.000
5/6/2010,0.634,0.238,240.630,3.400,6.000,0.000,1.000
15/7/2010,0.584,0.298,241.860,2.600,0.000,1.000,0.000
12/7/2009,0.132,0.000,244.620,0.600,0.000,0.000,0.000
6/7/2009,1.190,0.000,239.080,4.800,0.000,0.000,19.000
9/1/2009,0.212,0.000,247.810,0.800,0.000,0.000,0.000
24/3/2010,1.420,0.092,240.470,5.800,0.000,1.000,19.000
30/8/2010,0.352,0.230,241.360,1.800,0.000,1.000,1.000
21/10/2010,0.410,0.204,245.970,1.800,0.000,2.000,1.000
4/3/2009,0.514,0.324,244.620,2.400,0.000,1.000,0.000
15/10/2007,1.340,0.078,235.320,5.600,0.000,0.000,17.000
26/5/2008,0.328,0.000,237.630,1.600,0.000,0.000,1.000
7/7/2009,0.304,0.234,242.200,1.600,0.000,0.000,1.000
4/11/2010,5.544,0.184,236.040,23.800,17.000,35.000,0.000
22/8/2008,0.176,0.156,241.950,0.800,0.000,0.000,1.000
28/8/2008,0.082,0.000,242.730,0.200,0.000,0.000,1.000
27/8/2009,0.404,0.228,242.180,1.800,0.000,1.000,1.000
10/3/2009,0.430,0.050,243.500,1.800,0.000,1.000,0.000
12/1/2009,0.364,0.198,249.800,1.600,0.000,1.000,0.000
18/7/2010,0.324,0.220,242.960,1.600,0.000,1.000,0.000
17/3/2008,0.362,0.200,244.260,1.600,0.000,1.000,0.000
19/7/2010,1.634,0.196,242.370,6.800,0.000,0.000,13.000
2/5/2008,1.496,0.112,243.260,6.200,0.000,0.000,19.000
1/11/2010,1.212,0.134,248.750,4.800,0.000,1.000,1.000
14/11/2007,0.304,0.068,240.460,1.200,0.000,0.000,0.000
30/5/2010,0.532,0.206,241.590,2.400,0.000,0.000,1.000
27/7/2008,1.098,0.320,240.960,4.800,0.000,0.000,13.000
30/8/2007,0.112,0.000,242.870,0.400,0.000,0.000,0.000
2/7/2008,1.830,0.252,236.860,8.000,0.000,0.000,1.000
23/4/2007,0.282,0.124,237.320,1.400,0.000,0.000,0.000
5/10/2010,2.734,0.384,237.270,11.600,0.000,36.000,1.000
20/5/2009,0.352,0.096,242.990,1.600,0.000,2.000,0.000
30/1/2007,0.348,0.158,243.930,1.600,0.000,0.000,0.000
3/8/2009,0.234,0.128,239.170,1.000,0.000,0.000,1.000
24/12/2008,0.378,0.106,246.990,1.600,0.000,0.000,0.000
25/6/2010,0.168,0.000,240.710,0.800,0.000,0.000,0.000
10/10/2007,0.360,0.066,241.370,1.600,0.000,0.000,0.000
16/4/2008,1.476,0.090,242.360,6.000,0.000,0.000,20.000
3/3/2009,1.396,0.000,241.460,5.800,0.000,0.000,17.000
16/1/2009,0.266,0.000,244.460,1.200,0.000,0.000,0.000
2/1/2010,0.256,0.000,247.340,1.000,0.000,0.000,1.000
24/1/2009,1.410,0.184,243.190,5.800,0.000,0.000,0.000
14/6/2010,0.292,0.112,242.940,1.400,0.000,0.000,1.000
15/6/2007,2.498,0.470,241.190,10.800,0.000,0.000,18.000
22/4/2009,0.438,0.216,240.360,2.000,0.000,1.000,1.000
10/10/2010,0.720,0.328,241.300,3.200,0.000,0.000,1.000
3/1/2010,0.364,0.000,240.120,1.600,0.000,0.000,0.000
21/3/2008,1.684,0.000,241.320,7.000,0.000,0.000,18.000
11/1/2007,1.462,0.270,241.420,6.000,0.000,0.000,18.000
22/5/2010,0.390,0.088,239.790,1.800,0.000,0.000,0.000
26/12/2007,2.122,0.000,244.330,8.600,0.000,1.000,18.000
4/4/2007,1.668,0.000,236.490,7.000,0.000,0.000,17.000
11/9/2009,0.218,0.098,240.830,1.000,0.000,1.000,0.000
27/2/2009,2.406,0.000,238.720,10.000,0.000,1.000,17.000
1/3/2009,0.264,0.058,242.030,1.200,0.000,0.000,0.000
23/7/2010,1.150,0.196,238.630,4.800,1.000,2.000,1.000
10/7/2008,0.348,0.224,240.970,1.600,0.000,1.000,1.000
8/2/2009,1.350,0.048,245.620,5.400,0.000,0.000,18.000
5/4/2008,0.322,0.094,243.780,1.400,0.000,0.000,0.000
5/1/2007,2.496,0.278,241.810,10.400,0.000,1.000,0.000
12/3/2008,0.392,0.206,241.420,1.800,0.000,0.000,0.000
25/1/2009,1.726,0.356,243.010,7.200,0.000,1.000,18.000
10/8/2010,0.156,0.000,240.450,0.600,0.000,0.000,0.000
12/11/2008,3.496,0.226,238.180,14.600,0.000,1.000,18.000
19/9/2008,1.376,0.208,240.860,5.800,0.000,1.000,18.000
11/12/2009,2.296,0.140,239.920,9.600,0.000,2.000,18.000
7/11/2008,0.392,0.098,240.960,1.600,0.000,0.000,0.000
5/1/2007,0.358,0.194,241.780,1.600,0.000,0.000,0.000
15/10/2007,0.216,0.000,239.670,1.000,0.000,0.000,0.000
28/2/2010,0.340,0.098,240.980,1.400,0.000,0.000,1.000
4/11/2007,0.206,0.000,239.980,0.800,0.000,0.000,0.000
7/7/2007,1.418,0.206,237.560,6.000,0.000,1.000,17.000
4/5/2008,0.794,0.000,241.120,3.200,0.000,0.000,1.000
7/6/2007,0.588,0.248,236.130,2.600,0.000,0.000,0.000
19/12/2009,1.294,0.058,243.420,5.200,0.000,0.000,18.000
3/8/2008,0.200,0.080,238.040,1.000,0.000,0.000,1.000
6/9/2008,1.760,0.432,237.430,7.600,1.000,0.000,18.000
7/7/2010,1.506,0.314,239.000,6.400,1.000,1.000,18.000
9/12/2009,1.428,0.228,242.130,5.800,0.000,0.000,1.000
18/3/2007,4.698,0.334,237.370,19.800,38.000,1.000,0.000
11/7/2010,0.320,0.180,239.420,1.400,0.000,1.000,1.000
12/3/2009,2.620,0.188,238.310,11.600,0.000,0.000,0.000
